,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE_YEARS
0,0,1004,1,1,3,1,0,2,1,0,7600000,43
1,5,1986,2,1,5,0,0,2,2,4,21717770,11
2,1,909,1,1,3,1,0,0,2,5,13159200,19
3,3,1855,3,2,5,0,2,1,1,2,9630290,22
4,0,1226,1,1,3,1,2,2,2,1,7406250,29
5,2,1220,2,1,4,0,0,1,0,4,12394750,4
6,2,1167,1,1,3,0,2,2,0,5,8488790,27
7,3,1847,3,2,5,0,0,2,2,6,16800250,10
8,2,771,1,1,2,0,2,1,1,6,8308970,34
9,3,1635,2,1,4,0,2,0,0,2,8083650,15
10,2,1203,2,1,4,1,0,2,0,6,14938000,28
11,2,1054,1,1,3,0,2,1,2,6,9449730,37
12,2,1196,1,1,3,0,2,1,0,5,8774370,19
13,1,1056,1,1,3,1,2,1,1,4,9386490,25
14,3,1865,3,2,5,0,0,1,1,6,15499680,54
16,0,1639,2,2,4,1,1,0,2,2,8656000,17
17,2,796,1,1,2,1,0,2,0,5,10912550,36
18,1,1136,1,1,3,1,2,2,1,0,8287550,30
19,5,1902,2,1,5,1,0,0,1,5,21203240,41
20,2,1069,1,1,3,1,2,1,1,6,10905530,4
21,2,931,1,1,3,1,2,0,1,5,9185970,22
22,4,2010,3,2,5,0,2,1,2,4,10925400,9
23,2,1074,1,1,3,0,2,1,2,5,9627380,16
24,6,1972,2,1,5,0,2,1,0,4,13922760,5
25,6,1685,1,1,4,0,1,1,2,6,12601080,34
26,1,1130,1,1,3,1,0,0,1,4,13383350,29
27,0,1301,1,1,3,1,2,1,2,1,7939625,7
28,1,730,1,1,2,1,1,0,2,5,8848285,39
29,6,1806,2,1,5,0,1,1,1,4,11338200,35
30,5,1981,2,1,5,0,1,0,0,5,12872430,8
31,1,868,1,1,3,0,2,1,2,5,9042050,10
32,6,1721,1,1,4,1,2,0,1,6,14874380,20
33,3,1755,2,1,4,1,2,2,2,0,10222380,19
34,5,1709,1,1,4,0,2,1,2,4,12928590,6
35,4,2114,3,2,5,1,0,1,2,4,17564820,21
36,0,1226,1,1,3,0,1,2,1,0,4971250,27
37,3,1648,2,1,4,1,2,1,1,1,9170660,13
38,2,856,1,1,3,1,2,1,2,6,10383420,25
39,1,904,1,1,3,0,0,0,0,6,11601400,39
40,2,1198,1,1,3,0,2,2,0,4,8249260,36
41,0,931,1,1,3,0,0,2,1,0,6944500,17
42,0,1290,1,1,3,1,1,2,1,4,7745000,48
43,0,507,1,1,2,1,1,0,2,4,5728000,46
44,4,2492,4,2,6,0,0,1,1,5,18725520,15
45,0,851,1,1,2,0,1,2,0,1,3572250,29
47,5,1710,1,1,4,1,0,2,2,4,20215970,11
48,0,1412,2,2,4,0,1,0,2,5,8379000,27
49,1,779,1,1,2,0,1,1,0,1,5290635,9
50,6,1655,1,1,4,0,2,2,2,4,12548930,34
51,0,940,1,1,3,0,1,2,1,4,5857750,48
52,4,1667,2,1,4,1,1,1,1,6,10729700,5
53,4,1926,3,2,5,1,0,1,1,6,17006780,9
54,1,718,1,1,2,1,2,0,0,1,5570050,30
55,0,545,1,1,2,0,2,0,0,4,3854375,30
56,0,1249,1,1,3,1,2,0,2,4,8594875,36
57,6,1894,2,1,5,1,1,1,2,5,13549250,45
58,0,1469,2,2,4,0,0,1,0,1,9480750,5
59,1,916,1,1,3,1,1,0,0,0,5847520,28
60,2,934,1,1,3,1,1,1,1,6,9710900,22
61,0,1691,2,2,4,0,1,1,2,6,9398750,30
62,0,1236,1,1,3,0,0,1,1,2,8806250,39
63,6,1577,1,1,4,1,2,1,1,4,12087330,36
64,5,1915,2,1,5,1,2,1,2,4,14175620,41
65,5,1600,1,1,4,1,1,0,2,4,11920820,21
66,3,1579,2,1,4,1,0,0,1,2,13364730,24
67,1,1260,2,2,4,0,2,1,0,0,6922975,25
68,1,1021,1,1,3,0,0,1,1,2,11673175,5
69,4,2174,3,2,5,1,2,2,1,6,13069740,23
71,1,668,1,1,2,1,0,1,2,2,10283575,5
72,3,1724,2,1,4,1,1,0,0,5,8956480,54
73,1,890,1,1,3,1,1,1,1,1,7187350,30
74,1,1218,2,2,4,0,0,2,0,2,12574850,30
75,5,1792,1,1,4,1,1,0,2,6,13906270,21
76,0,1378,2,2,4,0,2,1,2,6,9917500,9
77,0,898,1,1,3,1,0,1,1,4,8629750,29
78,5,1928,2,1,5,0,1,2,0,4,11667050,10
79,2,1233,2,1,4,0,1,1,2,6,9817150,32
80,3,1618,2,1,4,1,2,1,1,1,9263050,39
81,0,627,1,1,2,0,1,1,2,6,6587500,28
82,3,1563,2,1,4,0,1,1,2,6,9799360,28
83,0,1693,2,2,4,1,0,1,2,1,12801500,6
84,6,1522,1,1,4,0,0,2,2,5,17454510,42
85,1,1090,1,1,3,1,2,1,2,4,9832420,28
87,6,1687,1,1,4,0,2,1,1,4,12476770,13
88,1,692,1,1,2,1,0,2,1,4,10381355,37
89,6,1518,1,1,4,1,0,2,1,4,17600240,36
90,1,1025,1,1,3,0,0,1,1,2,10934875,25
91,4,2170,3,2,5,1,1,1,2,5,12372160,8
92,2,969,1,1,3,1,0,0,0,4,11248750,17
93,4,1546,2,1,4,0,0,2,2,6,14241140,27
94,4,1709,2,1,4,1,1,1,1,5,10160600,20
95,6,1659,1,1,4,1,2,1,0,5,13539080,17
96,2,755,1,1,2,0,0,0,2,6,10727750,33
97,1,1182,1,1,3,1,1,2,0,5,9867055,17
98,1,735,1,1,2,0,0,1,0,4,9478710,13
99,2,1089,1,1,3,1,1,0,1,5,9050200,32
100,3,1534,2,1,4,1,2,0,1,1,7904210,53
101,5,1622,1,1,4,1,1,0,2,5,13063450,5
102,4,2198,3,2,5,1,2,1,2,6,13584980,20
103,2,1293,2,1,4,0,0,0,0,5,13116050,39
104,4,1641,2,1,4,0,2,2,2,5,10012600,29
105,3,1950,3,2,5,1,2,1,1,5,12105920,40
106,0,1245,1,1,3,0,2,1,1,0,4918375,28
107,2,905,1,1,3,0,2,0,2,4,7703200,33
108,4,1496,2,1,4,0,1,1,2,4,8569080,14
109,3,1892,3,2,5,1,1,0,2,6,12146620,36
110,3,1517,2,1,4,0,0,0,1,1,11671620,10
112,3,1755,2,1,4,1,0,1,2,2,14915900,35
113,5,1622,1,1,4,1,1,1,1,6,13547790,7
114,2,1092,1,1,3,0,2,2,0,4,8213040,4
115,2,821,1,1,3,0,1,1,1,4,7304000,7
116,4,1694,2,1,4,0,2,1,2,5,10390900,10
117,5,1809,2,1,5,0,0,2,0,5,19206870,26
118,0,1401,2,2,4,1,2,2,2,5,9965375,13
119,0,1470,2,2,4,0,2,1,0,4,7207000,24
120,2,798,1,1,2,0,0,1,1,4,9070550,37
121,2,764,1,1,2,0,1,0,0,4,5670200,8
122,2,1135,1,1,3,0,2,1,0,6,9253200,23
123,0,939,1,1,3,0,1,0,0,2,4294000,38
124,0,1586,2,2,4,1,0,1,2,6,14316000,28
125,6,1973,2,1,5,1,0,2,2,6,23307000,34
126,2,1023,1,1,3,1,1,2,1,6,9735150,17
127,2,884,1,1,3,0,0,1,0,6,11336400,4
128,5,1640,1,1,4,0,0,0,0,4,17701600,5
129,1,622,1,1,2,0,2,0,0,5,6572900,20
130,5,1880,2,1,5,1,1,1,0,6,13423020,16
131,4,2413,4,2,6,0,2,1,1,6,13122040,9
132,6,1649,1,1,4,0,0,2,2,4,18939100,24
133,3,1729,2,1,4,1,0,1,1,0,12803570,41
135,2,711,1,1,2,1,2,1,0,5,8050270,12
136,2,885,1,1,3,0,1,0,0,6,7194600,32
137,4,1688,2,1,4,1,1,1,2,6,11412700,15
138,1,1236,2,2,4,0,0,0,2,0,12035355,37
139,0,926,1,1,3,0,1,0,2,5,6877000,20
140,4,1686,2,1,4,0,2,1,1,6,10346400,23
141,0,1344,2,2,4,0,0,1,2,4,10809500,50
142,4,1437,2,1,4,0,2,2,2,6,10200600,22
144,1,1081,1,1,3,0,1,2,0,1,6190150,30
145,0,1352,2,2,4,1,1,0,2,0,6507250,27
146,4,1986,3,2,5,0,1,2,2,6,11350400,30
147,5,1758,1,1,4,1,0,2,0,5,19285540,41
148,0,607,1,1,2,0,2,1,2,5,5856625,45
149,4,2139,3,2,5,1,2,1,1,5,12472000,21
